stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
sequential,accuracy,0.5,0.50095,5000,129925000,49925000,9985,19992,10015,9977,1.385415,0.50075
sequential,accuracy,0.6,0.602291,5000,119795000,39795000,7959,19992,12041,7951,1.502567,0.60205
sequential,accuracy,0.7,0.70118,5000,109910000,29910000,5982,19992,14018,5974,1.637704,0.7009
sequential,accuracy,0.8,0.80087,5000,99945000,19945000,3989,19992,16011,3981,1.800991,0.80055
sequential,accuracy,0.9,0.90051,5000,89985000,9985000,1997,19992,18003,1989,2.000333,0.90015
sequential,accuracy,0.95,0.94978,5000,85060000,5060000,1012,19992,18988,1004,2.116153,0.9494
sequential,accuracy,1.0,1.0,5000,80040000,40000,8,19992,19992,0,2.248876,0.9996
sequential,none,0.0,0.0,10000,280000000,200000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,10000,140004000,60004000,1,20000,19999,1,1.999943,0.69998
sequential,accuracy,0.0,0.0,10000,280000000,200000000,20000,19992,0,19992,1.0,0.0
sequential,accuracy,0.1,0.095438,10000,260920000,180920000,18092,19992,1908,18084,1.073126,0.0954
sequential,accuracy,0.2,0.198179,10000,240380000,160380000,16038,19992,3962,16030,1.164822,0.1981
sequential,accuracy,0.3,0.303621,10000,219300000,139300000,13930,19992,6070,13922,1.27679,0.3035
sequential,accuracy,0.4,0.403561,10000,199320000,119320000,11932,19992,8068,11924,1.404776,0.4034
sequential,accuracy,0.5,0.50095,10000,179850000,99850000,9985,19992,10015,9977,1.556853,0.50075
sequential,accuracy,0.6,0.602291,10000,159590000,79590000,7959,19992,12041,7951,1.754496,0.60205
sequential,accuracy,0.7,0.70118,10000,139820000,59820000,5982,19992,14018,5974,2.002575,0.7009
sequential,accuracy,0.8,0.80087,10000,119890000,39890000,3989,19992,16011,3981,2.335474,0.80055
sequential,accuracy,0.9,0.90051,10000,99970000,19970000,1997,19992,18003,1989,2.80084,0.90015
sequential,accuracy,0.95,0.94978,10000,90120000,10120000,1012,19992,18988,1004,3.106968,0.9494
sequential,accuracy,1.0,1.0,10000,80080000,80000,8,19992,19992,0,3.496503,0.9996
sequential,none,0.0,0.0,20000,480000000,400000000,20000,0,0,0,1.0,0.0
sequential,next_page,1.0,0.99995,20000,240004000,160004000,1,20000,19999,1,1.999967,0.59999
